Date,Time,Source IP,Destination IP,Source Port,Destination Port
Jan,29,207.68.178.56,216.58.112.55,80,25
Jan,29,123.112.87.126,216.58.112.55,53185,25
Jan,29,85.54.146.31,216.58.112.55,55313,25
Jan,29,58.147.54.65,216.58.112.55,51009,25
Jan,29,142.162.239.193,216.58.112.55,61866,25
Jan,29,190.40.97.52,216.58.112.55,20354,25
Jan,29,151.9.246.29,216.58.112.55,3500,25
Jan,29,207.68.178.56,216.58.112.55,80,25
Jan,29,209.131.38.249,216.58.112.55,20898,25
Jan,29,122.162.36.15,216.58.112.55,56396,25
Jan,29,71.170.80.136,216.58.112.55,60539,25
Jan,29,66.11.164.174,216.58.112.55,60998,25
Jan,29,196.206.134.152,216.58.112.55,4982,25
Jan,29,219.139.115.162,216.58.112.55,50558,25
Jan,29,200.8.71.247,216.58.112.55,56419,25
Jan,29,59.95.27.206,216.58.112.55,63187,25
Jan,29,209.226.175.184,216.58.112.55,55431,25
Jan,29,222.162.78.66,216.58.112.55,11969,25
Jan,29,80.254.112.200,216.58.112.55,11637,25
Jan,29,122.164.76.172,216.58.112.55,1792,25
Jan,29,83.239.155.146,216.58.112.55,59114,25
Jan,29,77.234.15.211,216.58.112.55,49577,25
Jan,29,122.162.219.240,216.58.112.55,52275,25
Jan,29,207.68.178.56,216.58.112.55,80,25
Jan,29,200.35.177.17,216.58.112.55,46510,25
Jan,29,200.119.135.100,216.58.112.55,46509,25
Jan,29,89.175.152.185,216.58.112.55,23318,25
Jan,29,122.167.238.130,216.58.112.55,27353,25
Jan,29,121.135.240.208,216.58.112.55,54320,25
Jan,29,78.148.104.253,216.58.112.55,5736,25
Jan,29,71.104.50.6,216.58.112.55,50158,25
Jan,29,60.21.103.252,216.58.112.55,58025,25
Jan,29,82.35.230.228,216.58.112.55,4316,25
Jan,29,82.35.230.228,216.58.112.55,4317,25
Jan,29,82.35.230.228,216.58.112.55,4320,25
Jan,29,82.35.230.228,216.58.112.55,4323,25
Jan,29,65.26.47.241,216.58.112.55,48860,25
Jan,29,124.121.192.16,216.58.112.55,57195,25
Jan,29,78.148.58.129,216.58.112.55,3089,25
Jan,29,201.231.47.57,216.58.112.55,3432,25
Jan,29,190.189.106.45,216.58.112.55,4941,25
Jan,29,86.101.52.114,216.58.112.55,59827,25
Jan,29,85.75.51.53,216.58.112.55,2685,25
Jan,29,221.217.183.227,216.58.112.55,3790,25
Jan,29,168.18.80.183,216.58.112.55,2773,25
Jan,29,85.137.113.62,216.58.112.55,1888,25
Jan,29,71.127.188.123,216.58.112.55,50711,25
Jan,29,66.11.164.174,216.58.112.55,44679,25
Jan,29,66.11.164.174,216.58.112.55,44682,25
Jan,29,66.11.164.174,216.58.112.55,44685,25
Jan,29,205.134.188.171,216.58.112.55,59748,25
Jan,29,66.11.164.174,216.58.112.55,44691,25
Jan,29,66.11.164.174,216.58.112.55,44694,25
Jan,29,205.134.188.171,216.58.112.55,60675,25
Jan,29,205.134.188.171,216.58.112.55,60936,25
Jan,29,205.134.188.171,216.58.112.55,33194,25
Jan,29,205.134.188.171,216.58.112.55,33412,25
Jan,29,205.134.188.171,216.58.112.55,33726,25
Jan,29,71.126.248.71,216.58.112.55,53077,25
Jan,29,82.216.11.148,216.58.112.55,3633,25
Jan,29,92.46.11.100,216.58.112.55,17881,25
Jan,29,86.110.25.142,216.58.112.55,3053,25
Jan,29,60.48.66.248,216.58.112.55,1350,25
Jan,29,86.60.106.79,216.58.112.55,56719,25
Jan,29,211.108.155.43,216.58.112.55,38288,25
Jan,29,211.108.155.43,216.58.112.55,38382,25
Jan,29,89.151.157.84,216.58.112.55,54527,25
Jan,29,72.76.18.116,216.58.112.55,2773,25
Jan,29,89.24.99.57,216.58.112.55,57809,25
Jan,29,92.112.63.8,216.58.112.55,51273,25
Jan,29,84.204.158.238,216.58.112.55,56827,25
Jan,29,62.101.126.230,216.58.112.55,52036,25
Jan,29,62.101.126.230,216.58.112.55,52056,25
Jan,29,62.10.181.66,216.58.112.55,4211,25
Jan,29,213.150.83.114,216.58.112.55,3485,25
Jan,29,86.133.109.140,216.58.112.55,2016,25
Jan,29,61.7.42.45,216.58.112.55,65469,25
Jan,29,68.189.54.191,216.58.112.55,55014,25
